Original,Decoded,correct_token_length,original_token_length,match_ratio
Short movie review: it doesn't take itself so deadly seriously Did the critic thinking positively or negatively of the movie? OPTIONS: - negative - positive,Short movie review: doesn't really care about the film itself Did the critic thinking positively or negatively of the movie? OPTIONS: - negative - positive,21,29,0.7241379310344828
"Given two numbers, output the smallest number which when added to the larger one gives a result that's exactly divisible by 9. Input: 8, 9 Output:","Given two numbers, output the sum of the digits that add up to the given number, assuming that the sum is equal to a given number. if the number is divisible by 3, output -1. Input: Numbers: 2, 3 Output:",6,32,0.1875
Explain the significance of the discovery of gravitational waves.,Explain the significance of the gravitational force of the gravitational field.,5,10,0.5
Compare and contrast the use of imagery in two works of visual art from different time periods.,Compare and contrast the use of different forms of art in different cultures. Think of two different ways to use the same art in different cultures.,6,18,0.3333333333333333
"leftist president rafael correa on friday said that ecuador would refuse to pay part of its foreign debt due to irregularities in the contract, three days ahead of a default deadline. Summarize the aforementioned text in a single phrase.","a u.s. spokesman said tuesday that a u.s.-led coalition would not be allowed to take part in the fight against a u.s.-led coalition in the wake of a u.s.-led coalition plan to cut funding for a u.s. military operation in the middle east, saying it would not be able to do so without the help of its foreign minister. Summarize the aforementioned text in a",1,42,0.023809523809523808
What are some Christian literary works that deal with the topics of faith and doubt?,What are some of the key literary works that have been translated into English and include contemporary authors?,3,16,0.1875
Write an essay on how important it is to have friends and family.,Write an essay on how important it is to have friends and family on this trip.,13,14,0.9285714285714286
Explain how a rainbow forms like I am 5 years old.,Explain how a smartphone works like I am 5 years old.,10,12,0.8333333333333334
"What is this question asking for? What was the name given the 6, 500 German airforce troops that used the Spanish Civil War as a training exercise?",What was the name of the first manned spacecraft that landed on the moon? What is this question asking for?,2,30,0.06666666666666667
Build a movie plot around this: Who is Rachel's best Friend? Lisa,Build a movie plot around this: Who is's best friend'? Jeremy's best friend,10,15,0.6666666666666666
"Using the given scenario, predict the character's next action step by step.","Using the given scenario, predict the character's next move by guessing the next move.",10,15,0.6666666666666666
"Q: Question: what is extreme right wing? Would ""The centre right—unlike the far right—claims that people can end their behavioural inferiority through changing their habits and choices."" be a reasonable answer? The answer is:","Q: Question: what is the shortest road through a city? Would ""The shortest road through cities is the shortest and most scenic (but also the most scenic) route that can be traveled through both cities and towns."" be a reasonable answer? The answer is:",6,42,0.14285714285714285
Add punctuation to the following sentence: We went to the store and bought milk bread cheese and eggs,Add punctuation to the following sentence: She went to the store and bought milk bread and eggs,15,19,0.7894736842105263
Create a survey that asks about geographical knowledge and preferences.,Create a survey that asks about travel preferences and preferences.,9,11,0.8181818181818182
Explain how the wind is formed.,Explain how the water cycle works.,4,7,0.5714285714285714
Wow just noticed shane dawson messaged me hah! He said... hey i didnt know u did a &quot;unsub fred&quot; video! i swear i didnt mean to copy u Describe the sentiment embodied by this tweet. OPTIONS: - negative - positive,i just saw a tv show i didn't like &quot;I&quot; i woke up a little late &quot;I woke up a little late &quot;I woke up a little late &quot;I woke up a little late&quot; Describe the sentiment embodied by this tweet. OPTIONS: - negative - positive,1,51,0.0196078431372549
Context: Amy has been working on a research paper for weeks. She has finally finished it and turns it in to her professor. Next sentence:,Context: Jane has been working on a project for months and has been working on it for months. She has been working on it for her boss. Question: Who has been working on this project?,7,29,0.2413793103448276
List the largest cities in Canada and their populations.,List the cities in Australia and their populations.,2,10,0.2
"Do these questions have the same meaning? ""Why had Churchill said, 'Islam to a man is like rabies to a dog. Islam is a deadly disease'?"" What is Islam's view on equality of man and woman? OPTIONS: - no - yes","Do these mean the same? He is a man of a certain ethnicity and a sexy, sexy and sexy nature, and is a man of a certain ethnicity and a sexy nature. What is it like to be a man of a certain ethnicity and sexy nature? What is it like to be a man of a certain ethnicity and sexy? OPTIONS: - no - yes",2,51,0.0392156862745098
Compare and contrast the Belgian nobility with other European noble lineages.,Compare and contrast the political ideologies of French nobility with those of other European nobility.,4,12,0.3333333333333333
What is the sentiment of the following movie review sentence? into an intense and engrossing head-trip OPTIONS: - negative - positive,What is the sentiment of the following movie review sentence? an inexplicable and sloppy piece of work OPTIONS: - negative - positive,11,23,0.4782608695652174
"I've got several European counterparties on my 8/3/00 ClickPaper Online List, the UK, Italy, the Netherlands, Sweden and France. Are there any restrictions on trading financial pulp & paper in Europe? Everything going well...? Write a subject line for this email.","Write a subject line for this message: Hi, I'm interested in the upcoming conference. I have some ideas for the conference. I'm interested in attending the conference, but I haven't heard any good ideas. Any ideas? Thanks, Sarah. Thanks, I'll be there in a few days. Thanks,",0,51,0.0
Who directed the movie Forrest Gump?,Who directed the movie The Dark Knight?,4,7,0.5714285714285714
"Explain the following term: ""ozone layer""","Explain the following word: ""The""",5,9,0.5555555555555556
"categorize each of the following into these groups: solid, liquid, and gas. ice, neon (at room temperature), water, whiskey, a chair, carbon dioxide, and glass","Categorize each of the following into either a liquid, gas, or gas. Water, air, fire, air, water, ice, and soda.",7,37,0.1891891891891892
"Suppose In 1955, the Aurora Borealis, a coating applied to crystal stones to produce a ""rainbow of colors"" effect was introduced. Can we infer that ""The Aurora Borealis was discovered in 1995.""? Yes or no?","Suppose ""The Hunger Games"" was a science fiction novel written by British author J.K. Rowling. It was published in 1997 and became a bestseller in the United States. Can we infer that ""The Hunger Games was a science fiction novel.""? Yes, no, or maybe?",1,44,0.022727272727272728
What were some major contributions of Felix Mendelssohn to German classical music?,What were some major contributions of German composers to classical music's repertoire?,7,13,0.5384615384615384
How do surreal comedy shows challenge the viewer's perception of reality?,How do film critics determine the genre of their favorite tv show?,3,13,0.23076923076923078
"Does the sentence The Cradle of Liberty Council isn 't the first one to buck the national group's stance. paraphrase (that is, mean the same thing as) this sentence? Philadelphia's council is not the first to defy the national policy.",Can I replace the sentence The first'stupid' is the first'stupid' stout ( and the first'stupid' ) to be used in the sentence The first'stupid' is the first'stupid'. with the sentence The first'stupid' is the first'stupid'. and have it mean the same thing?,2,48,0.041666666666666664
What are some notable figures of the Romanian nationalist movement?,What are some notable figures from the British communist movement?,8,11,0.7272727272727273
If a description of a situation begins like this: The dog chases after a squirrel in the park. it... Then how does it continue?,If a description of a situation begins like this: A dog barks in the park. The dog takes a nap and then takes a nap. How does it continue?,11,28,0.39285714285714285
"Context: My dog has been acting strange lately, and I'm not sure what's wrong. She's been whimpering and won't eat her food. Instruction: What should I do if my dog is showing signs of illness?",Context: My dog's food tasted bad and I didn't eat it. It was hungry and I didn't want to eat it. Instruction: What should I do if my dog doesn't eat food?,4,45,0.08888888888888889
"How can you make a home-cooked meal more exciting and enjoyable, even if you don't have a lot of time or experience in the kitchen?","How can you make a living from a simple, self-fulfilling life, and how can you make a living in a way that never takes place?",7,28,0.25
How to make a paper airplanebr>Fold a piece of paper in half down the middle. Fold the top corners down to the center crease. Fold the wings down to create a point. Fold the wings down again to create the wings.,How to make a paper airplane Fold the paper down to the right side. Fold the paper down to the right side. Fold the paper down to a slit. Cut the paper down to a small piece.,5,47,0.10638297872340426
Suggest three fictional politicians and describe their political party and platform.,Suggest three fictional politicians and describe their political and political backgrounds and their accomplishments.,8,12,0.6666666666666666
"Do the words ""run"" and ""jog"" have the same meaning? OPTIONS: - different meanings - the same meaning","Do the words ""sleep"" and ""sleep"" have the same meaning? The sun is shining. OPTIONS: - different meanings - the same meaning",13,24,0.5416666666666666
Explain human's behavior: laugh.,Explain human's behavior: laugh.,7,7,1.0
Construct a lambda expression to multiply the numbers by 2.,Construct a regular expression to match the following expression.,5,11,0.45454545454545453
What is the sentiment of the following tweet? Tweet:@UrbaniQ Good Morning! OPTIONS: - negative - positive,What is the sentiment of the following tweet? Tweet:@sarahshappy OPTIONS: - negative - positive,12,22,0.5454545454545454
What are some popular techno songs and their respective artists?,What are some common types of renewable energy sources?,3,11,0.2727272727272727
Oil Jumps More Than $2 on Winter Worries Oil prices climbed more than $2 higher on Friday on renewed concern over supplies of distillate fuels in all main consuming centers before the Northern Hemisphere winter. What is this text about? OPTIONS: - World - Sports - Business - Science/Tech,"AP - AP - Despite a sluggish start to the second half, the AP reported that a sluggish start to the second half on Monday was largely due to poor weather conditions in the eastern United States. What is this text about? OPTIONS: - World - Sports - Business - Science/Tech",0,54,0.0
How would one describe the sentiment of this tweet? Waaaa I need more followers! HELP I ONLY GOTS 29 OPTIONS: - negative - positive,How would one describe the sentiment of this tweet? I need a sailor! I need a sailor! I need a sailor! OPTIONS: - negative - positive,10,27,0.37037037037037035
"Generate a sentence, and then tell me the concepts included in that sentence.","Generate a sentence, and then tell me the concepts included in that sentence.",15,15,1.0
"Write a sentence that is about a restaurant with all the following properties: name = The Wrestlers, food = French, priceRange = £20-25, customer rating = 3 out of 5, familyFriendly = yes","Write a sentence that is about a restaurant with all the following properties: name = The Wrestlers, food = French, priceRange = £20-25, customer rating = 3 out of 5, familyFriendly = yes, near = Raja Indian Cuisine",38,38,1.0
List the top five largest oil-producing countries in the world and their respective amounts of production.,List the top five most populous countries in the world and their respective population counts.,11,17,0.6470588235294118
What are some interesting facts about Fasciolariidae snails?,What are some notable examples of neo-noir poets and their work?,3,9,0.3333333333333333
What is the process for getting a passport?,What is the process for getting a passport?,9,9,1.0
Please add capitalization where necessary: the first day of school is always exciting because you get to meet your new teachers and classmates.,Please capitalize where necessary: this is the first time you will see a new and exciting new place to start your day.,1,25,0.04
Answer the question...what is the canada us air quality agreement??,Answer this question: who is the current president of india??,5,14,0.35714285714285715
"In your opinion, what are the qualities of an effective teacher?","In your opinion, what are the qualities of an effective teacher? what are your qualities as an effective teacher?",13,13,1.0
Explain what foreign direct investment (FDI) is.,Explain what is the best way to spend your free time.,2,10,0.2
Describe this data in a sentence: The Green Cafe eatType cafe; The Green Cafe food Vegetarian; The Green Cafe priceRange £10-£20; The Green Cafe area outskirts; The Green Cafe customer rating high,Data: The Coffee House eatType coffee shop; The Coffee House food American; The Coffee House priceRange high; The Coffee House customer rating 4.5 out of 5; The Coffee House area city centre; The Coffee House near The Bakers. Write a sentence that describes this data.,2,37,0.05405405405405406
Question 1: Is Christmas tree burning a tradition to celebrate the new year in the Netherlands? Question 2: Why do we have Christmas trees? Are questions 1 and 2 asking the same thing? OPTIONS: - no - yes,Question 1: Is the new iPhone coming to the market in 2 years? Question 2: Why do we need to upgrade our iPhone in the next 2 years? Are questions 1 and 2 asking the same thing? OPTIONS: - no - yes,4,44,0.09090909090909091
What countries are members of the Schengen Agreement?,What are the countries of EuroBasket?,2,9,0.2222222222222222
This restaurant is overpriced and not worth the hype. What is the sentiment expressed in this text?,this is not overly overly-priced and overly priced. What is the sentiment expressed in this text?,0,19,0.0
"Premise: A man wearing a cap and long blue shirt and blue pants playing the Accordion Hypothesis: There is a man in blue shirts and slacks playing the guitar..Given the premise, can we conclude the hypothesis? OPTIONS: - yes - it is not possible to tell - no","Premise: A man in a blue shirt and a white shirt is posing in the sand. Hypothesis: The man is posing in the sand..Given the premise, can we conclude the hypothesis? OPTIONS: - yes - it is not possible to tell - no",7,55,0.12727272727272726
What are the four marketing techniques used to gain customer attention?,What are the four methods used to market customer data?,4,12,0.3333333333333333
Answer the question...when did the nba get the 3 point line??,Answer the question...when did the nba get the 3 point line??,15,15,1.0
Tweet: THAT'S IT! @polykitty just sealed his fate. His recovering kitty ass will be going to live with my mom &amp; dad. Your own doing little man. Predict the sentiment of this tweet. OPTIONS: - negative - positive,Tweet: @JamesJones I just got my first birthday and my mom just got a new dress. I'm so excited. My mom just got my new dress. Predict the sentiment of this tweet. OPTIONS: - negative - positive,2,49,0.04081632653061224
Identify three different types of rocks and explain how they are formed.,Identify three different types of rocks and explain how they are formed.,13,13,1.0
"The administrator cleared her throat. As a result, ""The meeting was postponed."" or ""The meeting commenced.""?","The cake burned. As a result, ""The oven temperature was too high."" or ""The cake was stale.""?",6,25,0.24
"Question: The housewife needed dry storage, where should she put her things? Options: - storage closet - building - inside - warehouse - pantry Explain why a human would choose ""pantry"" to answer the question above:","Question: Where should you put a t-shirt when going to the store? Options: - closet - closet - closet - closet - closet Explain why a human would choose "" closet"" to answer the question above:",6,43,0.13953488372093023
"Suppose the Olympic Games are a global multi-sport event featuring athletes from all over the world competing in various sports. The first modern Olympic Games were held in Athens, Greece in 1896. Can we infer that ""The Olympic Games are only held in Europe""? Yes, no, or maybe?","Suppose The Great Wall of China is a series of fortifications built along the northern borders of China in response to the recent wars in neighboring countries. The wall was built in many different ways, including in ancient times and modern times. Can we infer that ""The Great Wall of China was built in the 20th century""? Yes, no, or maybe?",2,57,0.03508771929824561
"Select the topic that this about: WiMax is winning over lots of followers while quickly gaining momentum on the standards front -- despite high-profile skeptics such as Texas Instruments, according to experts at this week's Broadband World Forum in Venice. OPTIONS: - World - Sports - Business - Science/Tech","Select the topic that this about: The United States has resigned from its position as the world's top military commander, citing concerns over the country's continued repression of foreign troops during the war, as it continues to retaliate against the United States. OPTIONS: - World - Sports - Business - Science/Tech",9,54,0.16666666666666666
"Test sentence: ""Ellen warned Helen about the traffic jam."" Is this test sentence a correct grammatical English sentence? OPTIONS: - unacceptable - acceptable","Test sentence: ""Another woman walked the dog."" Is this test sentence a correct grammatical English sentence? OPTIONS: - unacceptable - acceptable",5,29,0.1724137931034483
Analyze the information provided in the text and determine if copyright infringement has occurred.,Analyze the text and determine if it contains information about a person's sexual orientation or if they have sexually transmitted information.,2,15,0.13333333333333333
"""The cat was meowing constantly until it was fed."" implies that the cat stopped meowing after it was fed. True or false? OPTIONS: - false - true","The dog barked at the mailman because it was barking. Who is ""it""? OPTIONS: - The dog - The mailman",3,33,0.09090909090909091
Provide a brief summary of the works of Nobel Prize-winning Bengali-language writer Rabindranath Tagore.,Provide a brief summary of the works of Japanese writer-director Yukio Kobayashi.,8,15,0.5333333333333333
Rewrite the following sentence in passive voice.,Rewrite the following sentence in passive voice.,8,8,1.0
Next question: a collection of gods and goddesses is known as?,Next question: sassassas is a group of musical instruments and is known as which of their instruments?,3,13,0.23076923076923078
"Here's a complex question that requires someone to reason about the input, can you answer it? Jeremy Brock is the writer and director of this 2011 drama that was adapted from him and what other female?","Here's a complex question that requires someone to reason about the input, can you answer it? What is the name of the man who was a member of the band Queen and who also wrote and produced the song ""Bohemian Rhapsody""?",19,40,0.475
Choose the best answer to complete the sentence below. The ________ is responsible for filtering wastes from the blood. Options: - A: pancreas - B: liver - C: kidneys - D: heart,Choose the best answer to complete the sentence. The human body is made up of many different types of cells. Options: - A: feces - B: glands - C: lungs - D: lungs,9,39,0.23076923076923078
"A typhoon can potentially cause A -> diminished lakes B -> overflowing wetness C -> population floods D -> rivers drying Is the right answer A, B, C or D?","A saturn can be a source of oxygen, so it can be a source of oxygen A -> water B -> ice C -> sand D -> ice Is the right answer A, B, C or D?",2,37,0.05405405405405406
The patient was diagnosed with pneumonia. A diagnosis of pneumonia was given to the patient. Are these sentences equivalent? OPTIONS: - yes - no,Are these sentences equivalent? The patient was admitted to the hospital. The patient was admitted to the hospital. OPTIONS: - yes - no,0,28,0.0
"Choose between ""orange"" and ""grapefruit"". Logic test: Sally bought two fruits: one orange and one grapefruit. She noticed that the orange took longer to roll down the hill than the grapefruit. This means that the ___________ is heavier (A) grapefruit (B) orange.","Choose between ""car"" and ""bike"". Question: The bike was a little bigger than the bike. It had (A) more resistance (B) less resistance.",8,56,0.14285714285714285
Carson decided to throw a party and invited everyone along for the ride. Given the context: How would Others feel as a result? Answer:,"Given the fact that: The more a person has to pay for a ticket, the more they will pay. Answer the question: Casey paid a ticket and got a refund for their ticket. How would Casey feel afterwards? Answer:",0,28,0.0
Identify and list the different types of literature genres.,Identify the different types of literature genres and their types.,1,10,0.1
Identify whether the following text is about (a) food or (b) medicine. output the label 1 for food and 2 for medicine. Input: Text: I am feeling sick today. I think I need to go to the hospital. Output:,Identify whether the following text is about food or not. output 1 for food and 0 for not. Input: Text: I am going to the store. I need to buy some groceries. Output:,8,50,0.16
"Does ""In April 1644, the capital at Beijing was sacked by a coalition of rebel forces led by Li Zicheng, a former minor Ming official, who established a short-lived Shun dynasty."" correctly answer the question of Who was Li Zicheng? OPTIONS: - yes - no","Does ""In 1861, a new sultanate was established at the Yenir, a township of the Yenir, which was formerly known as the Yenir, and was later renamed the Yenir, a township of the Yenir, which was later named the Yenir."" correctly answer the question of When was the Yenir founded? OPTIONS: - yes - no",3,53,0.05660377358490566
How do you prepare a cup of coffee? Put a filter in the coffee maker and add ground coffee.,How do you make a cup of coffee? Mix a cup of coffee grounds and a cup of coffee grounds. Add the coffee grounds and coffee grounds.,10,21,0.47619047619047616
Explain the process of nuclear fission step by step.,Explain the process of nuclear fission step by step.,10,10,1.0
What is the difference between a person who has an addiction and a person who simply likes something?,What is the difference between a person who has an ego and someone who has a different personality than someone who has an ego?,11,19,0.5789473684210527
"Data: Alfons Gorbach, deathPlace, Graz; Alfons Gorbach, birthPlace, Tyrol (state); Alfons Gorbach, birthPlace, Austria Sentence about the following data:","Data: Alfons Gorbach, birthPlace, Austria; Alfons Gorbach, birthPlace, Tirstrup; Alfons Gorbach, birthPlace, Austria-Hungary Sentence about the following data:",12,31,0.3870967741935484
Comprehensive list of cybersecurity best practices.,How to properly brush your teeth,0,7,0.0
Create a set of triples that describes the content in the following sentence. 1939 Masters Tournament player name is Craig Wood. The country is United States. The score is 72-73-71-68=284. The To par is -4.,"Create a set of triples that describes the content in the following sentence. The movie is rated PG-13 (rated PG-13), is rated PG-13 (rated PG-13), and is not available for children under 12. It is not available on DVD. The movie is rated PG-13.",14,40,0.35
"The new restaurant in town has been getting rave reviews, but is it worth the high prices? In a nutshell,","The new restaurant in town has received rave reviews from food critics, but has been criticized for its poor service? In a nutshell, is the new restaurant worth visiting?",6,23,0.2608695652173913
Can you retrieve the package from the post office? He couldn't retrieve his lost cell phone. Similar sense of retrieve?,Can you help him with his finances? He didn't file a complaint. Similar sense of file?,2,24,0.08333333333333333
New Zealand passes law to phase out single-use plastic bags nationwide.,New technology brings up new challenges for small-scale businesses. New technology brings up new challenges for small-scale businesses. TL;DR:,1,12,0.08333333333333333
What is the structure of the S.L. Benfica organization?,What is the function of the S.L. Benfica bus?,9,11,0.8181818181818182
What is the difference between a K-pop single and an EP?,What is the difference between a RESTful and an Open-ended question?,7,12,0.5833333333333334
"The city council has just passed an ordinance that requires all residents in this town to own a pet. write a letter to your neighbor, asking him/her whether he/she will comply with the new rule or not. Output:","Find out whether a person has an interest in politics or not. if so, write an email to your friend describing your opinion on this topic. I believe that the government should not be allowed to spy on its citizens. Output:",1,42,0.023809523809523808
"Sentence: The comic character, Ballistic (a.k.a. Kelvin Mao) was created by Douglas Moench and Michael Manley. What data can be extracted from this sentence?",Sentence: The character (A.S. Livorno Calcio) was created by Roberto DiCaprio and was written by Roberto DiCaprio. The author is Roberto DiCaprio. What data can be extracted from this sentence?,3,31,0.0967741935483871
"What is ""What types of water pollution are there?"" asking about? OPTIONS: - description - entity - abbreviation - human - numeric - location","What is ""What are the names of the oceans that are a part of North America?"" asking about? OPTIONS: - description - entity - abbreviation - human - numeric - location",4,29,0.13793103448275862
The new law prohibits smoking in all public places. Is smoking allowed in designated smoking areas? OPTIONS: - yes - no,A new law prohibits smoking in public places. Is smoking legal in public places? OPTIONS: - yes - no,6,24,0.25
How do Mirbelioids contribute to the ecosystem of the rainforest?,How do you properly brush and floss your teeth?,2,11,0.18181818181818182
"Given the premise ""Lucas is taller than Tom."", can we infer the hypothesis ""Tom is taller than Lucas.""? OPTIONS: - yes - it is not possible to tell - no","Given the premise ""Since it is less than a mile long, it is not much longer than the nearest airport."", can we infer the hypothesis ""Since it is less than a mile long."" is true? OPTIONS: - yes - it is not possible to tell - no",4,38,0.10526315789473684
"Here is some data about a restaurant: name = The Little Italy, eatType = pizzeria, food = Italian, priceRange = expensive, customer rating = 4 out of 5, familyFriendly = no, near = Gourmet Burger Kitchen. Write a sentence that includes the following data about a restaurant.","Here is some data about a restaurant: name = The Eagle, eatType = coffee shop, food = Italian, priceRange = moderate, customer rating = 3 out of 5, familyFriendly = no, near = Burger King. Write a sentence that includes the following data about a restaurant",32,56,0.5714285714285714
Add punctuation: Water sports clubs present themselves at the Weser Kutterpuller rowing a race and look forward to landlubbers who want to try on the belt and the extinguishing of the fire boat Bremen demonstrated the publics willingness deletion,Add punctuation: The sandblaster is a tool to help the user to quickly and easily locate the right place to place the sandblaster and the sandblaster to help the user to quickly and easily locate the right place to place the sandblaster and the right place to place the right place to place the right place to place the right place to place the right place to place the right place to place the right place to place the right place on the map,5,40,0.125
"Does ""In 1766, Henry Cavendish was the first to recognize hydrogen gas as a discrete substance, by naming the gas from a metal-acid reaction ""flammable air""."" contain the correct answer to ""Who discovered Hydrogen gas?"" OPTIONS: - yes - no","Does ""The resulting gas, known as the ""Case of the Sun"", was a gas that was able to be cooled by a single, high-temperature, alternating current, or a combination of both, due to its low temperature, which caused the gas to become more dense."" contain the correct answer to ""What was the cause of the gas's extinction?"" OPTIONS: - yes - no",3,51,0.058823529411764705
Predict if the user will continue using your app in the future. This app is too complicated. I don't like it.,Predict if the user will like or dislike the product based on his/her comment. I don't think this product will be useful in the long run.,5,25,0.2
"Here's a complex question that requires someone to reason about the input, can you answer it? Between Trent Reznor and Ali Campbell, who has a more diverse career?","Here's a complex question that requires someone to reason about the input, can you answer it? Who has a younger brother, John, who has a younger brother, and is also a musician?",19,33,0.5757575757575758
Who are some notable Mexican composers and what are their most famous works?,Who are some famous German composers and what are their most famous works?,12,14,0.8571428571428571
"Is ""The work has endured and is useful to this day."" a good answer to the question ""Once the popularity on the lectures grew, who began to attend?"" OPTIONS: - yes - no","Is ""The new restaurant on Main Street is a good place to work, but it's a bit too expensive to get to the main entrance."" a good answer to the question ""How much did the new restaurant cost to open?"" OPTIONS: - yes - no",4,41,0.0975609756097561
"Task: Find out which company owns the following domains: www.facebook.com, www.twitter.com, www.google.com, www.yahoo.com, www.youtube.com, www.instagram.com, www.github.com, www.linkedin.com. output them one by one, seperated by comma. Input: www.yahoo.com Output:","Task: Find out which of the following websites have been visited by a user. output the website name directly. if yes, output its URL. otherwise, output ""no such links found"". Website: https://www.google.com/search?q=search&q=search&q=search&q=search&q=search&q=search&q=search&q=search&q=search&q=search&q=search&q=search&q=search&q=search&q=search.html..... ",6,42,0.14285714285714285
Do these questions have the same meaning? What is your opninon about MS Dhoni Movie? How is Dhoni movie? OPTIONS: - no - yes,Do these questions have the same meaning? What is a good movie about tv/horror? What is your favorite movie about tv/horror? OPTIONS: - no - yes,12,28,0.42857142857142855
"Write a one sentence review of the movie ""La La Land"".","Write a one sentence review of the movie ""the lonesome beast"".",11,14,0.7857142857142857
"If so you so what's your what's the solution then, can we conclude that ""You don't know the solution then.""? OPTIONS: - yes - it is not possible to tell - no","If you're not sure what's wrong with the'so', then what's wrong with it?, can we conclude that ""If you're not sure what's wrong with the'so', then you can't tell what's wrong with it.""? OPTIONS: - yes - it is not possible to tell - no",1,40,0.025
List three events that took place in the 17th century.,List three major events that took place in the 3rd century.,2,11,0.18181818181818182
"Homework Decide whether the word ""rake"" is used with the same meaning in the two following sentences. Answer by yes or no. Rake gravel. The gunfire raked the coast.","Homework Decide whether the word ""strike"" is used with the same meaning in the two following sentences. Answer by yes or no. Strike a bargain. The bomb struck the building.",25,35,0.7142857142857143
"Add the requirement that the table in #The Given Prompt# must include a column for reinforcement learning methods, and provide at least one use case for this type of learning in addition to the examples for supervised and unsupervised learning.","Add a function to the following list that takes in a string and returns the length of the string, but you must also include the length of the string in ascending order, and use a built-in function to convert it to lowercase.",2,44,0.045454545454545456
Sentence from a movie review: bravura performance Was the movie seen positively or negatively based on the preceding review? OPTIONS: - negative - positive,Sentence from a movie review: awe-inspiring Was the movie seen positively or negatively based on the preceding review? OPTIONS: - negative - positive,6,27,0.2222222222222222
Make me laugh by writing a funny story about your day. Output:,Make up a story about your day. make it funny by answering questions about it. Output:,1,14,0.07142857142857142
"When was Berlin's Brandenburg gate erected? Is this question asking for code, count, date, distance, price, order, period of time, percentage, speed, temperature, size, weight, other number?","When was the first televised televised? Is this question asking for code, count, date, distance, price, order, period of time, percentage, speed, temperature, size, weight, other number?",2,42,0.047619047619047616
"Generate an instruction based on the following movie plot: A group of college friends reunite for a weekend trip to a cabin in the woods, only to discover that they are not alone.","Generate a question about the following movie plot: A group of friends are forced to live in a small town, only to discover that they are not allowed to share a secret with their friends, only to discover that they are able to use the secret to survive.",1,36,0.027777777777777776
"Q:Q: While similar to insects, what eight-legged invertebrates lack antennae or wings? Choices: - spiders - reptiles - crustaceans - arachnids A: A:",Q: A symbiotic relationship between a symbiotic relationship and a host is called what? Choices: - abiotic relationship - abiotic relationship - abiotic relationship - abiotic relationship A:,3,31,0.0967741935483871
