Original,Decoded,correct_token_length,original_token_length,match_ratio
Create a Python algorithm to classify positive and negative sentiment in tweets.,Create a class in Python to classify positive integers and negative integers in a positive integer.,2,13,0.15384615384615385
"Parse the given URL and print out the protocol, domain name, and path using Python.","Using Python, write a function to count the number of words in the given text, and display it using the name, age, and gender.",0,18,0.0
Write a recursive Python function to generate Fibonacci numbers.,Write a Python function to generate Fibonacci numbers up to a given limit.,2,10,0.2
Create a Kubernetes pod setup that publishes a tweet every 5 minutes.,Create a tweet that expresses a 5 minute meditation practice.,2,13,0.15384615384615385
Write a code to generate a two-dimensional array with zeros shapes in Python,Write a code in Python to generate a two-dimensional array with a value in two decimal places,3,13,0.23076923076923078
Write a Python code to create a dictionary which contains a data structrue in the form of [x:x2] where x is the key and x2 is the value.,"Write a code to find the largest number in a given array and use the x function to do so. The code should also include a x function and a x function. x = [1, 2, 3]",3,33,0.09090909090909091
"Create a Python script to print the numbers from 1 to 50, but for multiples of 3 print ""Fizz"" instead of the number, for multiples of 5 print ""Buzz"" instead of the number and for multiples of both 3 and 5 print ""FizzBuzz"".","Create a Python script for printing the number of characters of the ""Hello, World!"" number, and the number of characters of ""Hello, World!"" number.",6,52,0.11538461538461539
Create a Python program to calculate the square root of a user-defined positive number.,Create a Python program to calculate the square root of a number up to a given number.,11,15,0.7333333333333333
Create a Python class called Rectangle to represent a two-dimensional rectangle with a length and width.,Create a class with a variable named a_number and a_number with a variable named a_number. The variable will be used to calculate the length of a string with both uppercase and lowercase letters.,2,17,0.11764705882352941
Create a data visualization dashboard in Python using Matplotlib.,Create a data structure using Python to store a user's birthday data in descending order. My Birthday Data = Birthday,3,10,0.3
Edit the following python code to prompt the user to enter the value of radius to calculate the area of a circle.,Edit the following code to add a new value to the python code to calculate the area of a circle.,4,23,0.17391304347826086
Create a Python algorithm to identify the longest word in a sentence.,Create a function in Python to identify the longest word in a sentence.,2,13,0.15384615384615385
Write a Python script that can convert degrees Fahrenheit to degrees Celsius.,Write an algorithm to solve the following problem: 2x + 3 = 15.,1,13,0.07692307692307693
Generate a Python function that checks if a given number is an Armstrong number.,Generate a Python function that checks if a given number is an even number.,14,15,0.9333333333333333
Write a code in Python to print the following pattern:,Write a code to print the following code in Python:,4,11,0.36363636363636365
Program a web scraper in Python to extract the latest stock prices from specific websites.,Construct a Python program to display the current stock prices of different stocks in a specific currency. Include specific data structures used to store the stock.,1,16,0.0625
"The code provides Python wrappers around TensorFlow ops for decoding LibSVM input to tensors. To use it, call the decode_libsvm function with the following arguments: input (a Tensor of type string), num_features (an int that is >= 1), dtype (an optional tf.DType from: tf.float32, tf.float64,",Generate a Python code snippet to extract the nth element from a n-dimensional array. The n-dimensional array should be sorted in ascending order. The n-dimensional array should be sorted in ascending order. n = n + n  n = n + n  n = n  n = n  n = n  n = n + n + n = n + n,1,59,0.01694915254237288
Write a Python program to compute the sum of the values of a given dictionary,Write a Python program to calculate the sum of the squares of a given number,12,15,0.8
Create a REST API in Python that can be used to delete an item from a list.,Create a Python function that can be used to remove all elements from a list in an array.,2,18,0.1111111111111111
Read a given list of strings and create a new list of all strings that are longer than 5 characters long.,Read a list of strings and write a function that returns true if all strings are of the same length and have at least 5 characters.,3,22,0.13636363636363635
Craft an algorithm in Python to move all zeroes in a list to the end of the list.,Create an algorithm in Python to get the maximum value in a list of integers.,5,19,0.2631578947368421
Create a Python program to implement the Fibonacci sequence.,Create a Python program to calculate the Fibonacci sequence up to a given number.,8,10,0.8
Write a function in Python to print out an array backwards.,Write a backwards function in Python to print out an array of integers.,2,12,0.16666666666666666
Create a Python program to find the possible prime numbers from one to one hundred by using the Sieve of Eratosthenes algorithm.,Create a program to find the largest prime number from a list of prime numbers using Python. The program should also use the built-in Python library to solve this problem.,2,23,0.08695652173913043
"Create a Python function named ""Transpile"" that takes in four arguments: ""src_dir"", ""dst_dir"", ""model_filename"", and ""params_filename"". Inside the function, create a CPUPlace object and an Executor object using Paddle Fluid. Then, create a Scope object using fluid.core.Scope(). Load the inference program, feed target names, and fetch targets using fluid.io.load_inference_model() with the ""src_dir"", ""exe"", ""","Create a Python program to convert a string to its corresponding hexadecimal representation. The program should also handle cases where the string contains multiple hexadecimal characters, and also include the corresponding substrings (e.g., ""Hello, World!"", ""World!"", ""Hello, World!"", ""Hello, World!"", ""Hello, World!"", ""Hello, World!"", ""Hello, World!"", ""Hello, World!"", ""Hello, World!"", ""Hello, World""",8,85,0.09411764705882353
Create a Python function called add_marks which takes two parameters: marks(a list) and mark(an integer). The function should add the mark to each value in the marks list.,"Create a function in Python that takes two lists as arguments and returns the number of unique elements in the list. The function should have a time complexity of O(n), where n is the length of the list. list1 = [1, 2, 3] list2 = [3, 4, 5]",2,37,0.05405405405405406
Design a positive feedback loop for the following python program.,Design a python program for the following program.,2,11,0.18181818181818182
Implement a function that prints out the numbers from 1 to 50 in python,Implement a loop in python that prints out the numbers 1 to 1,2,14,0.14285714285714285
"Write a Python program to send an automated email. The program should take a list of emails as input, iterate over the list, and send an email to each address.","Write a Python program to take an input list of email addresses, and return the last name of an email address. The program should also handle incoming and outgoing emails, and handle incoming and outgoing emails as an error.",6,34,0.17647058823529413
Create a Python class which represents a 3D Vector,Create a Python class that represents a 3D object,7,9,0.7777777777777778
"Given two strings, write a Python program to find the total number of common characters present in both strings","Given a set of numbers, write Python code to find the number of common elements in both numbers and find the number of pairs in both numbers.",4,20,0.2
Modify the following Python code to handle errors.,Classify the following Python code to use class class.,5,9,0.5555555555555556
Analyze a given Python code and write a function that checks if a given number is prime.,Analyze a given Python function and write a function that checks if a given number is a prime number.,15,18,0.8333333333333334
Create a python program to filter out all the even numbers from a given list.,Create a python program to print out all the even numbers from a given list.,15,16,0.9375
Implement a function in Python that takes a Huffman tree and drop all its leaf nodes.,Implement a function in Python that takes a string and returns a numeric value.,8,17,0.47058823529411764
Create a web crawler in Python that starts from a website and looks for other links in the page then scrapes the page content.,"Create a web page in Python that displays a link to a website that has the link ""https://www.example.com/"" and allows the user to search for the link in the link.",6,25,0.24
"Write a Python program to calculate the maximum, minimum and mean number of elements in a given string.","Write a Python program to calculate the average of a given list of numbers, but with a restriction to only include numbers in the list.",7,20,0.35
Write a Python program to calculate the compound interest.,Write a Python program to calculate the average.,7,10,0.7
Create a command-line application in Python that stores customer data and allows customer to query by customer name,Create a Python program to detect and respond to customer complaints in a customer service email that includes customer data and response time in real-time.,2,18,0.1111111111111111
Develop a program in Python to calculate the Fibonacci sequence.,Develop a program in Python to calculate the Fibonacci sequence up to a given number.,10,11,0.9090909090909091
Generate a python program that takes two sets of integers as input and outputs the intersection of those sets.,"Generate a program that takes two integers as input and outputs the sum of all digits of a number. a = ""abcd"" b = ""acd""",4,20,0.2
Design an algorithm in Python to find the smallest number in a given list.,Design an algorithm in Python to find the largest number in a given list n.,13,15,0.8666666666666667
Generate a python program for printing a Pascal triangle.,Generate a python program for a new python program.,6,10,0.6
Create a python script that filters out all negative numbers from the given matrix,Create a python script that prints out the digits of a given number that are divisible by 3,6,14,0.42857142857142855
Create a basic REST API using Python and Flask to list all the countries in the world.,Create a list in Python using the world's largest number and the world's largest number in reverse order using the built-in Python library.,4,18,0.2222222222222222
Create a web scraper in Python that can extract hotel reviews from TripAdvisor.,Create a Python script that can detect spam emails in a web page that originate from a user. The script should be in a tabular format.,2,14,0.14285714285714285
Develop a machine learning model in Python to identify the author of a given article.,Develop a machine learning model to identify the author of a given article in a scientific paper.,5,16,0.3125
Write a Python program to divide a given list of numbers into two equal parts such that the difference between the sum of the two parts is minimum.,Write a Python program to calculate the sum of two numbers between two given numbers such that the sum of the two numbers is a prime number between two given numbers.,11,29,0.3793103448275862
Develop an algorithm to detect and fix Python syntax errors in a given code snippet.,Develop an algorithm in Python to generate a nested nested loop and its length.,3,16,0.1875
Design a data structure in Python to store integer values.,Design a Python program to sort data in ascending order.,3,11,0.2727272727272727
"Create an algorithm in Python for a linear search. The algorithm should take in an array and a value to search for, and return the index of the value if it is found, or -1 if it is not.","Create a function in Python that takes an array of numbers and returns a new array if it is a prime number, otherwise it should return -1. The function should also check if the value in the array is an even number, and return an error message if it is not.",4,43,0.09302325581395349
"Given a list of strings, write a Python function to remove all the whitespaces from each string.","Given a list of strings, write a Python function to remove all the duplicates from a string.",17,19,0.8947368421052632
Design a Python program to randomize a list of given integers using an optimized Fisher-Yates algorithm.,Design a Python program to sort an array of integers using a sorted list with a given default value.,6,17,0.35294117647058826
Create a system in Python for generating natural language responses.,Create a natural language processing system for storing natural language files in a library.,2,11,0.18181818181818182
Create a web scraper using Python that collects the title and content from the homepage of a given website.,Create a Python program that calculates the average age of a user using the given data. The user's name and age should be a given integer.,3,20,0.15
"Generate a Python script that finds the total surface area of a cuboid, given its three dimensions.",Generate a Python script that calculates the area of a triangle given its base and height.,6,19,0.3157894736842105
Generate a Python program to clean a string of HTML tags.,Generate a Python program to reverse a string of a string.,9,12,0.75
Generate a Python function that takes an integer array as input and returns the number of unique elements in the array.,Generate a function in Python that takes an array of integers and returns the sum of all the unique elements.,7,22,0.3181818181818182
Create a Python program to scrape an online news website to get the headlines.,Create a Python program to get the current site traffic from a website.,5,15,0.3333333333333333
Edit the given Python program to print 'Happy Holidays' 10 times.,"Edit the given Python program to print the given number's digits. '10', 10'",8,13,0.6153846153846154
Combine 2 strings and reverse the result in Python.,Edit the following text to improve its clarity and conciseness.,0,10,0.0
Create a class to represent a bank account in Python.,Create a class in Python to represent a number.,3,11,0.2727272727272727
"Optimize the following Python code to sort a set of numbers (set = [2, 6, 3, 8, 4]) in O(n) time complexity.","Using the following data, create a program to find the maximum value in an array. [1, 2, 3, 4, 5]",2,34,0.058823529411764705
Design a Python program to perform linear regression for predicting the numbers in a given dataset.,Create a Python program to calculate the mean digits of a given number in descending order.,5,17,0.29411764705882354
"Create a Python object that contains two attributes, ""Name"" and ""Age"".","Create a Python function that takes two lists and returns a new list containing the two lists: ""list1"" and ""list2"".",5,17,0.29411764705882354
Write a function in Python that takes a list of objects and returns a list of those objects sorted by one of their attributes.,"Write a function in Python that takes a list of words and returns a list of all words that start with a letter, but not a number.",15,25,0.6
Write a Python program to generate an HTML table displaying information about the top 10 bestselling books in a specific genre.,Write a Python program to retrieve the top 10 most popular coding languages in a database table. Include an example of a database table that contains information about all the languages used in a specific database.,5,22,0.22727272727272727
Create a Python script to filter out all the vowels from a string.,Create a Python script to remove all the vowels from a string.,5,14,0.35714285714285715
"In Python, write a script to sort the list items in descending order.","In Python, write a function to sort a list in ascending order, and then write the program to sort the list.",8,15,0.5333333333333333
Create a Python function that takes in a text string and returns a dictionary of words and the number of times each word appears in the text string.,Create a function in Python that takes a string and returns the number of words in the string and a number of words in each word.,3,29,0.10344827586206896
Create an object-oriented structure to solve a maze by using python.,Create an object using python to solve a multiplication problem.,2,12,0.16666666666666666
Compose a piece of code to print the length of a given string.,Compose a code to print the length of a given string of code.,3,14,0.21428571428571427
Compose a Python program to calculate the maximum possible revenue from the items with given weights and values.,Compute the average of a given Python program and add a constraint to the program to ensure that the program maintains its original output.,0,19,0.0
"Write a Python program to read in a tweet and remove all punctuation, special characters and stopwords.","Write a Python program to read and write a text file in Python, including all punctuation marks and special characters.",7,19,0.3684210526315789
Implement a web scraper in Python to extract the top ten trending YouTube videos.,Implement a Python script to fetch the top 10 highest rated books in a library.,2,15,0.13333333333333333
Make a code in Python to find the mode of the given set of values.,Make a program in Python to find the average of the numbers of words in a given set of words.,9,16,0.5625
Create a web API with Python and Flask to give the current date and time.,Create a Python script to get the current date and time with different timezones.,2,16,0.125
Create a Python function that takes a list containing fruit names and returns the most common fruit name.,Create a Python function that takes a list of names and returns a new list containing the names that contain a specific letter.,8,19,0.42105263157894735
Write a Python program to take in a list of phrases and generate a string with the each phrase followed by its length.,Write a Python program to take a list of words and return a new list with each word in the list sorted by its length in descending order.,7,24,0.2916666666666667
Write a simple Python function that takes a list of integers and returns the sum of all elements divisible by 3.,Write a Python function that takes a list of integers and returns a new list of all the even numbers within the list.,4,22,0.18181818181818182
Create a program in Python that takes a number from the user and prints all the divisors of the number.,Create a Python program that takes a number as a parameter and returns the sum of all the even numbers in the number.,2,21,0.09523809523809523
Write a Python program to generate an HTML page containing a table with some employee data.,Write a Python program to create a program with an input field with some data.,7,17,0.4117647058823529
Create a Python function to select all rows from a table where the'status' is 'approved',Create a Python function to check if a given string is a 'cat' and 'dog'.,7,17,0.4117647058823529
"Create a Python program to generate random passwords of length 8 characters, containing at least one lowercase letter, one uppercase letter and one number.","Create a Python program to generate a random password of length 8 or less, including at least one uppercase letter, one lowercase letter, and one number.",6,27,0.2222222222222222
Generate a solution to translate a text from English to French using Python.,Generate a python code to convert a string from English to French using only symbols from English.,2,14,0.14285714285714285
Create a function to generate a unique 6 digit number.,Create a function to generate a unique n-digit number from a given number. n = 5,7,11,0.6363636363636364
Write a Python program to generate 10 random numbers and put them in a list.,Write a Python program to generate a random number in numbers and print it in a list.,7,16,0.4375
Write a Python program to replace all occurrences of a given string with an alternate string.,Write a Python program to remove all duplicates from a given string with a given string.,12,17,0.7058823529411765
"Generate a Python class for an online store item that includes fields for ID, name, price, and description.","Generate an email address for a website, domain name, and domain name, and provide code for this domain name.",3,22,0.13636363636363635
Create a virtual assistant using Python and Dialogflow to answer a basic set of questions.,Create a set of questions and answers to a set of questions using Python. How to create a basic budget using Python?,2,16,0.125
"Create an algorithm in Python to solve ""Tower of Hanoi"" game of a 4 disk problem.","Create an algorithm to solve the problem of ""how to sort a list of numbers in Python"" by length.",3,19,0.15789473684210525
Generate an api response in Python for the provided data.,Generate an XML data format for the information in an email.,2,11,0.18181818181818182
Create a webscraper using Python’s Selenium that retrieves data from an online store.,Create an online store that sells a product using Python. You can use the product's data as a guide.,1,16,0.0625
Develop a web scraper with Python BeautifulSoup to scrape data from an online web store.,Develop an online store to store data from a Web-based store. Speak with a native English speaker,1,16,0.0625
Implement a basic algorithm in Python to calculate the nth Fibonacci number.,Implement a function in Python to calculate the fibonacci sequence up to a specified number.,2,13,0.15384615384615385
"Create a Python class that receives two strings and has methods for comparing the strings and returning whether they are equal, different, or similar up to a provided threshold.","Create a Python function that takes two strings as parameters and returns a list of all the strings that are a combination of two different lengths, but they are not able to be combined.",7,32,0.21875
Generate a program in Python to evaluate the accuracy of a machine-learning model.,Generate a program in Python to generate the square root of a given number.,7,14,0.5
Write a Python program to replace all occurrences of a character in a string with the provided replacement character.,Write a Python program to find the length of a string in a string containing only occurrences of a specific character in a string.,10,20,0.5
Create a python program to find the largest prime factor of a number.,Create a python program to find the prime factors of a number.,7,14,0.5
Write a Python program to check if an element exists within a given list of integers.,Write a Python program to remove all duplicates from a given list of integers.,5,17,0.29411764705882354
Create a Python program that takes a sentence and converts it to Morse code.,Create a Python program that accepts a sentence and converts it to its corresponding sentence.,11,15,0.7333333333333333
Generate a python program to sort a list of numbers,Generate a python program to remove all occurrences of a list,6,10,0.6
Create a program in Python to remove all the occurrences of an item from a list.,Create a program in Python to remove all the duplicates from a list of numbers from a list.,9,17,0.5294117647058824
Could you build a web scraper in Python that collects all the links from a website?,"I received the questions ""How do you create a web page in Python using a json-address? Can you provide a sample code for a web page in Python?"" and ""How do you create a web page in Python using the json-address?"".. Are they duplicates?",0,17,0.0
Generate a Python program to delete a given key from a dictionary.,Generate a Python program to reverse a given string.,7,13,0.5384615384615384
Analyze the following Python function to detect any potential errors.,Analyze the following Python function to solve any problem.,7,11,0.6363636363636364
Generate a Python program to reverse the order of words in a sentence but keep the order of the characters in each word the same.,"Generate a Python program to count the number of words in a sentence, but without using the built-in count() function to count the number of words in each word in the sentence.",11,26,0.4230769230769231
Port a Java code snippet to Python 3.,Write a Python code snippet to print a 3D array.,4,9,0.4444444444444444
Generate a Python program that takes a list of strings as input and prints the strings in alphabetical order.,Generate a Python program that takes a list of strings and returns a list with all the strings in alphabetical order.,10,20,0.5
Build a Python program that extracts all email addresses from a given string.,Build a Python program that removes all duplicates from a given list.,6,14,0.42857142857142855
Create a Python code to generate a random string of length 8 made of uppercase letters and numbers.,Create a Python script to generate a random string of length 10 and contain only numbers of length 10.,10,19,0.5263157894736842
