Original,Decoded,correct_token_length,original_token_length,match_ratio
"thaila ayala sales -lrb- born april 14, 1986 in presidente prudente -rrb- is a brazilian actress and model.","a saxophone is a symphony composed by a symphony orchestra based in sydney, sydney, sydney, sydney, sydney, sydney, sydney, sydney, sydney, sydney, sydney, sydney, sydney, sydney ",0,20,0.0
"sven leuenberger -lrb- born august 25, 1969 in niederuzwil, switzerland -rrb- is a retired swiss professional ice hockey defender. playing in the nla-a, leuenberger accumulated 74 goals, 173 assists, and 443 penalty minutes in the regular season. since the nla 2006 season, leuenberger has been the general manager -lrb- sports director -rrb- of the ","a savage, savage, savage, savage, savage, savage, savage, savage, savage, savage, savage, savage, savage, savage, savage, savage, savage, savage, savage, wild, wild, wild, wild ",4,62,0.06451612903225806
brett scott -lrb- born 10 april 1962 -rrb- is a former australian rules footballer who played with the sydney football club in the victorian football league during the 1980s. scott played his early football with the rock-yerong creek before being recruited to south melbourne and making his league debut in 1981. the following year the club relocated to sydney and he took part in the inaugural game for their new city. injuries restricted his appearances over the years,"a u.s. basketball team, including the u.s. national basketball team, was sacked by the u.s. basketball association on thursday after a ##-year-old football player was convicted of stealing the team's football during the ##-year-old football match against the u.s. basketball team, officials said. What is a very short summary of the above text?",0,80,0.0
marlon evans -lrb- born 3 august 1997 -rrb- is a guamanian international footballer who plays for wings in the guam men's soccer league,"a chinese tv show aired on tuesday, with a chinese television show starring a woman who is accused of being behind the chinese tv show's ""sunday night"" show. The show is titled ""sunday night"" and stars a chinese actress who is accused of being behind the chinese tv show ""sunday night"". Input: Showtime:  Output:",1,24,0.041666666666666664
"jesper blicher -lrb- born 4 october 1988 -rrb- is a danish professional football midfielder, who currently plays for danish 1st division side lyngby boldklub. blicher began playing football in kolt-hasselager if, where he was picked for agf, where he got his other footballing education. he was part of the year'88, who won in the junior league, like michael ","Is this a piece of news regarding world politics, sports, business, or science and technology? a u.s. spokesman said tuesday he was'very happy'to be a part of a                                    ",0,65,0.0
"stewart owen ford -lrb- born 1964 -rrb- is a british businessman, the founder and chief executive -lrb- ceo -rrb- of the failed financial company keydata. he was fined a record # 75 million by the financial conduct authority in may 2015.","a u.s.-based company is a taiwanese businessman and philanthropist who is the co-founder of the taiwanese company taiwanese telecommunications company -lrb- taiwan -rrb-, the company was founded by a former taiwanese businessman who is the chairman of the company. What is the topic of the above",0,44,0.0
chris galletta -lrb- born 1981 -rrb- is an american screenwriter. he is best known for writing the 2013 coming-of-age film  the kings of summer ''.,- edward mccarthy is the film director of - edward mccarthy is the film director of - edward mccarthy is the film director of - edward mccarthy is the film director of - edward mccarthy is the film director of - edward mccarthy is the film director of - edward mccarthy is the film film is the film is the film is the film,1,27,0.037037037037037035
"barbara coombs lee, pa, fnp, jd, -lrb- born 1947 -rrb- is an american activist and president of compassion & choices, a national non-profit organization dedicated to expanding and protecting the rights of the terminally ill. she practiced as a nurse and physician assistant for 25 years before becoming an attorney and devoting her professional life to individual choice and empowerment in health care. staffing the oregon senate healthcare and bioethics committee in 1991 ","As a chess player, she tries to balance her chess skills with her innate intelligence and a strong negotiating style. She tries to balance her chess skills with an innate intelligence and a strong negotiating style. As she tries to balance her chess skills with her innate intelligence, she tries to balance her chess skills with her innate intelligence. Are we justified in saying that ""chess is an art""? Yes, no, or maybe?",1,79,0.012658227848101266
"darren m. swain is an american politician, a democrat and a member of the maryland house of delegates.","a british spokesman for an iranian embassy in afghanistan was sworn in on thursday, an official said. In a nutshell,",1,20,0.05
"paul charles quinn -lrb- born 21 july 1985 -rrb- is a scottish footballer who currently plays for aberdeen in the scottish premiership. his usual position is right back, but can also play at centre back or on the right wing. quinn started his career at motherwell and has also played for cardiff city, doncaster rovers, and ross county.",- a san francisco - a san francisco - a san francisco - a team of football players who have been playing for the same team since they were young - have been playing for the same team since they were young - have been playing for the same team since they were young. The best answer is,0,64,0.0
"robert joseph motl -lrb- july 26, 1920 -- june 3, 2007 -rrb- was an american football end in the all-america football conference for the chicago rockets. he played college football at northwestern university and was drafted in the ninth round of the 1943 nfl draft by the washington redskins.","The symphony ""The Last Supper"" was a choral composition by the composer Claude Monet, whose compositions include the choral compositions of the choral compositions of the symphony ""The Last Supper"" by George Orwell, a choral composition by the composer Franz Schubert, a choral composition by the composer Franz Schubert, and the choral compositions by the composer Franz Schubert. TL;DR:",1,53,0.018867924528301886
"christiane soeder -lrb- born january 15, 1975 in remscheid, north rhine-westphalia -rrb- is a german-born austrian road racing cyclist and former duathlete who now lives in vienna. she finished fourth in the 2008 olympic road race with a time of 3h 32 ′ 28. she rides professionally for.","a chinese woman, whose name is a chinese slang word for'sad', has been convicted of a sex-related sex-related murder in the chinese city of kobe, where she was convicted on a number of counts, including murder and attempted murder. Is that a paraphrase of the following sentence? chinese woman, who has been convicted of sex-related",1,52,0.019230769230769232
"molwyn joseph is an antiguan politician and chairman of the antigua labour party -lrb- alp -rrb-. first entering politics in 1984 when he was made a minister without portfolio in the government of vere bird, joseph became minister of finance seven years later, renegotiating the antiguan national debt and introducing fiscal reforms. after a 1996 scandal in which it was discovered he had used his position to import a 1930s rolls royce for a friend, bypassing normal","a u.s. spokesman for a u.s.-backed u.s.-backed u.s.-backed u.s.-backed coalition government on thursday called for a broader coalition to help re-establish a peace process after a tense political climate and a stalemate with the opposition, saying it was a necessary step forward after the war ended. Summarize the aforementioned text in a single phrase",0,82,0.0
"edmond henri joseph reusens -lrb- b. in wijnegem -lrb- antwerp -rrb-, 25 april 1831 ; d. in leuven, 25 december 1903 -rrb- was a belgian archeologist and historian. sent to the university of leuven immediately after his ordination to the priesthood -lrb- 1854 -rrb-, he","- edward s. dickson -lrb- cdr -rrb- was a british physicist and chemist, a physicist and chemist who developed the theory of relativity and the theory of relativity. Summarize the aforementioned text in a single phrase.",1,49,0.02040816326530612
"nicetas or niketas -lrb- -rrb- was the cousin of emperor heraclius. he played a major role in the revolt against phocas that brought heraclius to the throne, where he captured egypt for his cousin. nicetas remained governor of egypt -lrb- or at least alexandria -rrb- thereafter, and participated also in the byzantine -- ","the u.s. embassy in san francisco, where a u.s. diplomat was reportedly stranded on a tuesday, said it had reopened its diplomatic relations with iraq, and said it had reopened its diplomatic relations with iraq. In a nutshell,",0,57,0.0
"kathy stanton was a sinn féin member of the northern ireland assembly from 2003 to 2007 in north belfast. stanton is a full-time party official in north belfast, and is her party's spokesperson on equality. she was elected to the assembly in november 2003 election, and was co-opted to belfast city council in 2000, before losing her seat in the 2001 local government elections. in 2006 she announced that she would not be contesting the next assembly election but denied reports that this was due","Do you think this movie is a romantic comedy? The movie follows a group of friends as they embark on a journey through a dark and stormy forest, surrounded by a beautiful sunset. The story follows a young girl who is rescued by her family after a stormy forest, but soon realizes she's not alone.",1,92,0.010869565217391304
"abigail  abby '' elliott -lrb- born june 16, 1987 -rrb- is an american actress and comedian best known for her four seasons as a cast member on  saturday night live '' from 2008 to 2012. she is the daughter of comedian chris elliott.","a woman was convicted of a sex crime and sentenced to life in prison, and her daughter, a former sex slave, was released tuesday, and her daughter, a former sex slave, was released. In a nutshell,",1,45,0.022222222222222223
"jeffrey thomas is a welsh-born new zealand actor, best known for his film, television and stage roles.","a samurai film, known for its witty, witty, and witty, is known for its witty, witty and witty characters.",1,20,0.05
"paul wilson brooks -lrb- 28 may 1921 -- 26 january 1946 -rrb- was an english cricketer. brooks was a left-handed batsman who bowled left-arm fast-medium. the son of william james brooks and mabel brooks, he was born at marylebone, london. prior to appearing in first-class cricket, wilson had played second xi cricket for middlesex ","san antonio sanchez, the u.s. presidential candidate who resigned from his post on saturday after a tense re-election campaign, was sacked by the u.s. presidential candidate, a spokesman for the u.s.-led coalition, a spokesman for the u.s.-led coalition, said he would not be able to attend the meeting until after the election.......",1,60,0.016666666666666666
andreas horvath -lrb- born 25 august 1968 in salzburg -rrb- is an austrian photographer and filmmaker.,"- birth date is october 1, 1861 - birth place is st. johnstown, st. johnstown, st. johnstown, st. johnstown, st. johnstown, st. johnstown, st. johnstown, st. johnstown, st. johnstown, st. johnstown, st. johns",0,17,0.0
"asbjrn kragh andersen -lrb- born 9 april 1992 -rrb- is an danish cyclist, currently riding for uci continental team team trefor-blue water. he is the older brother of sren kragh andersen, also a professionist cyclist.","sri lanka's nato senate senate, a senate senate and a senate senate committee on tuesday rejected a proposal by a senate committee to extend the senate's ban on saturday. TL;DR:",1,39,0.02564102564102564
"tigam alif farisma -lrb- born on august 6, 1992 -rrb- is an indonesian footballer who currently plays for mitra kukar f.c. in the indonesia super league.","a chinese man was arrested in a chinese court on thursday for allegedly smuggling a tetrahedron of tetrahedron-related drugs in the u.s., but he was not charged with the crime. In a nutshell,",0,29,0.0
"dale raoul, born karen dale raoul, is an american film and television actress perhaps best known for her role as maxine fortenberry, mother of hoyt fortenberry, on the hbo television series  true blood ''.","'Mary Poppins' is an American teen, teen, and teen neo-noir actress known for her role as a'sister' of a'sister'. She is best known for her role as 'Jane' in 'Mary Poppins'. Having read that, could you tell me is 'Mary Poppins' a teen?",1,39,0.02564102564102564
"ava acres is an american actress. she is best known for playing the role of erik in  happy feet two ''. acres'older sister, isabella, is also an actress.","john smith is an american actress, two-time oscar winner, and is best known for her role in's'i'm a woman '. The sentiment expressed for the actress is",4,33,0.12121212121212122
ernest wilson  ernie '' young -lrb- 1893 -- after 1922 -rrb- was an english footballer who played as a centre forward in the football league for middlesbrough and darlington.,An acrostic saxophone player was sung by a saxophone player named                                                  ,0,30,0.0
"samia hamouda abbou -lrb-, born 3 november 1965 -rrb- is a tunisian lawyer and politician. on 27 december 2011, she replaced moncef marzouki in the constituent assembly after he assumed office as the interim president of tunisia. before the tunisian revolution she was one of the founding members of and joined the congress for the republic -lrb- cpr -rrb- in 2006. she is married to mohamed",Reuters - The spokesman for the u.s.-led coalition backed a                                                     ,0,70,0.0
"lotten sjödén -lrb- born 7 december 1994 -rrb- is a swedish biathlete. she is part of the swedish junior national team for the 2013/2014 season. she won a silver medal in the youth women relay at the 2012 biathlon junior world championships in kontiolahti, finland. she competed in the first winter youth olympics in 2012 in innsbruck, austria, ending both sprint and pursuit","a u.s. spokesman for the u.s.-led coalition on tuesday urged the united states to continue implementing a plan to reduce air pollution in the world, citing concerns over the u.s.-led coalition's ability to reduce air pollution and prevent a famine in the country, the u.s. air pollution agency said. TL;DR:",1,69,0.014492753623188406
"shawan robinson -lrb- born september 7, 1983 -rrb- is an american former professional basketball player. he played college basketball at clemson university and professionally played in europe. robinson attended clemson for 4 years. in his final year -lrb- the 2005/2006 season -rrb- he averaged a team leading 12.3 ppg and a free throw percentage of 91.3 %, enough to have him ranked 3rd in the nation",a u.s. senate panel on tuesday voted overwhelmingly to approve a                                                  ,0,71,0.0
"christine isobel mcgaffey frederick -lrb- february 6, 1883 -- april 6, 1970 -rrb- was an american home economist and early 20th century exponent of taylorism as applied to the domestic sphere. she conducted experiments aimed at improving household efficiency, as well as arguing for women's vital role as consumers in a mass-production economy. she wrote books on these subjects, the best-known of which is probably ","Write a short summary for this text: a u.s. military spokesman said thursday that a u.s. military spokesman, who was a u.s. military spokesman for the u.s.-led coalition in the war-torn country, was preparing to launch an airstrike against the u.s.-led coalition after the u.s.-led invasion of iraq, was able to launch an airstrikes against the u.s.",0,72,0.0
"frank waln is an indigenous american -lrb- sicangu lakota -rrb- rapper, songwriter and activist from the rosebud sioux reservation in south dakota. waln is most known for his songs  aboriginal, ''  oil 4 blood '' and  born on the rez, '' all of which are anthems of hope and indeed opposition against the many injustices the native american peoples face in modern times, including racism, appropriation and environmental","a u.s. spokesman said thursday that the u.s. government has urged all citizens to wear sarees and turbans to protect themselves from the sun, despite the u.s.'s stance on the u.s.'s stance against the u.s.'s stance against the u.s.'s stance against the u.s.'s stance against the u.s.'stance against the u.s.",1,74,0.013513513513513514
"warren darst gill -lrb- december 21, 1878 in ladoga, indiana -- november 26, 1952 in laguna beach, california -rrb- nicknamed  doc '', was a professional baseball player who played first base for the pittsburgh pirates in the 1908 major leagues. gill is best known for failing to touch second base in a game against the chicago cubs on september 4, 19","a swiss-born, british-born, british-born, british-born, british-born british footballer was sacked by the british army on thursday after he failed to win the premier league championship. Can you generate a short summary of the above paragraph?",2,68,0.029411764705882353
"khawaja muhammad ibn muhammad ibn hasan ts -lrb- -rrb- -lrb- born 17 february 1201 in s, khorasan -- died on 25 june 1274 in al-kimiyyah district of metropolitan baghdad -rrb-, better known as nasr al-dn ts -lrb- ; or simply tusi in","Write a short summary for this text: sri lanka's nato, sri lanka's sri lanka, sri lanka, sri lanka, sri lanka, sri lanka, sri lanka, sri lanka, sri lanka, sri lanka sri sri sri ",0,44,0.0
"sir hugh spencer lisle dundas cbe, dso & bar, dfc -lrb- 22 july 1920 -- 10 july 1995 -rrb-, nicknamed  cocky '', was a world war ii fighter pilot in the royal air force. he was promoted to squadron leader at the age of 21, to wing commander at 22. in 1944, dundas was awarded the distinguished service order and at 24","a u.s. spokesman said thursday that a u.s. embassy in iraq had been 'unconvinced'by a u.s. embassy in iraq, citing a's 'highest priority' to the u.s. government, and that the u.s. government was 'unconvinced'by the u.s. embassy in iraq, u.s. embassy in",0,69,0.0
"helen wagner -lrb- september 3, 1918 -- may 1, 2010 -rrb- was an american actress. born in lubbock, texas, she is best known for her long-running role as nancy hughes mcclosky on the soap opera  as the world turns ''. wagner was the longest serving actor on an american soap opera. wagner also played the role of trudy bauer during the initial tv years of ",a u.s. spokesman for the u.s.-based u.s.-based u.s.-based u.s.-based u.s.-based u.s.-based u.s.-based u.s.-based u.s.-based u.s.-based u.s.-based u.s.-based u.s.-based u.s.-based u.s.------------,0,72,0.0
"lieutenant-general sir andrew clarke, gcmg, cb, cie -lrb- 27 july 1824 -- 29 march 1902 -rrb- was a british soldier and governor, as well as a surveyor and politician in australia.","- birth date is june 14, 1876 - birth place is san francisco, california, united states - birth place is san francisco, california, united states - occupation is writer, editor, editor, editor, editor, editor, editor, editor, editor, editor, editor, editor, editor, editor, editor, editor, editor, editor - san francisco, united states",2,36,0.05555555555555555
matt todd -lrb- born 24 march 1988 -rrb- is a new zealand rugby union footballer. he plays at blindside or openside flank. he is tall and weighs. he made his air new zealand cup debut as a replacement against waikato at ami stadium. he made his first start against taranaki a week later in the second shield challenge of the season. he was also part of the crusaders wider training group for the 2010 super 14 season,"a swedish football team was beaten by a swedish team in the second round of the ##-## olympics on thursday night, but they were unable to make it through the finals. TL;DR:",0,82,0.0
"jonah kapena -lrb- died march 12, 1868 -rrb-, also spelled iona kapena, was a royal advisor and statesman in the kingdom of hawaii who helped in the drafting of the 1840 constitution of the kingdom of hawaii. besides his legislative career as a member of the house of nobles, he would also serve as a judge and became an associate justice of hawaii's first supreme court.","a u.s. envoy to the united states, john mccain, a u.s. envoy to the united states, whose president was a u.s. envoy to the united states, said thursday that he would be re-elected next year, and urged the united states to re-evaluate its stance on the u.s.-led war against iraq. In a ",0,73,0.0
"chiara siracusa better known by her mononym chiara -lrb- born 25 september 1976 -rrb-, is a maltese singer. she represented her country in the eurovision song contest in 1998, 2005, and 2009 and is with a second and a third place the third most successful participant who never won the contest -lrb- behind germany's katja ebstein and wind -rrb-.","a british singer, a british singer, a british singer and a british singer, who was a member of the band's 'Bohemian Rhapsody' and the first woman to win the world series, was sacked by the british government on thursday, and she was re-elected to the british national team. TL;DR:",0,65,0.0
"donna marie christian-christensen, formerly donna christian-green -lrb- born september 19, 1945 -rrb-, is a u.s. virgin islander physician and politician. she served as the non-voting delegate from the united states virgin islands to the united states house of representatives -lrb- map -rrb- from 1997 until 2015.","a u.s. woman and a woman were killed in a syria-iraqi bombing on tuesday, the u.s. military said, as the u.s. and iraqi forces fought to keep the u.s. and iraqi forces from destroying the city of syria, the u.s. military said. In the passage above, the pro.",1,51,0.0196078431372549
patrick zoundi -lrb- born 19 july 1982 -rrb- is a burkinabé footballer who plays for 1. fc saarbrücken in the regionalliga südwest.,"- name of samantha samantha - birth date is 1 april 1979 - birth place is samantha samantha, sweden - birth place is sweden - birth place is sweden - birth place is sweden - birth place is sweden - birth place is sweden - birth place is sweden - birth place is sweden sweden sweden sweden -",1,23,0.043478260869565216
"anthony acid -lrb- born anthony caputo ; april 2, 1965 -rrb- is an american dj, producer and remixer. he has worked with the likes of nast nova, dj skribble, brutal bill, and richie santana.","I am hesitating between 4 options to answer the following question, which option should I choose? Question: The first hesitating element is a                                              ",0,41,0.0
roxroy cato -lrb- born 5 january 1988 -rrb- is a jamaican athlete specialising in the 400 metres hurdles. he placed 5th in his heat in a time of 49.03 s at the 2012 olympics.,a british sailor was killed in the saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan saharan sa,0,36,0.0
"jacqueline ruth  jacki '' weaver, ao -lrb- born 25 may 1947 -rrb- is an australian theatre, film, and television actress. she is known internationally for her performances as janine  smurf '' cody in  animal kingdom '' -lrb- 2010 -rrb- and as dolores solatano in  silver linings playbook '' -lrb- 2012 -","samantha khan, a samantha's samurai, a samurai, a samurai, a samurai, a samurai, a samurai, a samurai, a samurai, a samurai, a samurai, a samurai samurai samurai",1,55,0.01818181818181818
"james donald -lrb- 18 may 1917 -- 3 august 1993 -rrb- was a scottish actor. tall and thin, he specialised in playing authority figures. donald was born in aberdeen, and made his first professional stage appearance in the late-1930s, having been educated at rossall school on lancashire's fylde coast. during world war ii he had minor roles in war films including,  in which we serve '","a syrian guerrilla group was slamming a u.s. military base during a guerrilla war in afghanistan, killing several people and wounding several others, police said thursday. TL;DR:",0,74,0.0
"michael courtney jenkins putnam -lrb- born september 20, 1933 -rrb- is an american classicist specializing in latin literature, but has also studied literature written in many other languages. putnam has been particularly influential in his publications concerning virgil's  aeneid ''. he is the son of politician and businessman roger putnam. putnam received his b.a., m.a., and ph. ","The following movie review expresses what sentiment? a savage, savage, and savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely savagely s",0,66,0.0
svend erik bjerg -lrb- born 16 november 1944 -rrb- is a former danish cyclist. he competed at the 1968 summer olympics and the 1972 summer olympics.,"- edward m. stokes - birth date - july 15, 1876 - name - edward m. stokes - birth place - stokes - stokes - stokes - stokes - stokes - stokes - stokes - stokes - stokes - stokes - stokes stokes stokes stokes s",0,28,0.0
"bill g. ingebrigtsen -lrb- born march 26, 1952 -rrb- is a minnesota politician and member of the minnesota senate. a member of the republican party of minnesota, he represents district 8, which includes portions of douglas and otter tail counties in the west central part of the state.",a u.s. envoy to the united states on thursday urged u.s. and chinese leaders to re-evaluate the u.s.-led coalition in afghanistan to re-evaluate the country's nuclear program and to re-evaluate its nuclear program. What is a very short summary of the above text?,0,53,0.0
"byzantine is a heavy metal band from charleston, west virginia that formed in 2000. the band consists of frontman and co-founder chris  oj '' ojeda -lrb- rhythm guitar, vocals -rrb-, brian henderson -lrb- guitar -rrb-, matt wolfe -lrb- drums -rrb- and sean sydnor -l",- kobe bryant - birth date - birth place - birth place - birth place - birth place - sweden - birth place - sweden - birth place - sweden - birth place - sweden - birth place - sweden - birth place - sweden - birth place - sweden - birth place - sweden - birth place - sweden - birth place - birth place - birth place,0,48,0.0
"joseph defilippis -lrb- born 1967 -rrb- is an american gay-rights and anti-poverty activist, who has served as executive director of two non-profit organizations and worked as a teacher, community organizer and public speaker. he is best known as the founder of queers for economic justice.","Reuters - The former president of the u.s.-led coalition government, a former u.s.-led coalition, has been accused of smuggling a number of weapons and ammunition, including a grenade and an exploding bomb. Using only the above description and what you know about the world, is ""The u.s. president is a former president of the united states."" definitely correct? Yes or no?",1,49,0.02040816326530612
"peter berner is an australian comedian, radio and television presenter, probably best known as host of television's  the einstein factor ''.","'The 'Bohemian Rhapsody'' is an American's 'first and only' musical, an evocative, and evocative, 'first and only' musical. Having read that, I wonder what was the name of the first and only 'Bohemian Rhapsody'?",0,25,0.0
emiliano ariel dudar -lrb- born 12 august 1981 in buenos aires -rrb- is an italian-argentine central defender who plays for deportivo merlo.,"a chinese taiwanese taiwanese woman, a chinese woman who is a chinese-born chinese woman from the chinese-speaking country, has been named as the new chinese woman of the year for ## years. TL;DR:",0,23,0.0
"siw  siwan '' gunnel margareta malmkvist -lrb- born 31 december 1936 -rrb- is a swedish singer who has been popular in scandinavia and west germany. she had a number one hit in west germany in 1964 with ''  liebeskummer lohnt sich nicht '' '' -lrb- -rrb-, and on 18 july 1964 she became the first swe",- eli nasri was a syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-born syrian-syrian-born syrian-born,0,58,0.0
"ivan duane irwin -lrb- born march 13, 1927 -rrb- is a retired american-born canadian professional ice hockey defenseman who played 155 games in the national hockey league for the new york rangers and montreal canadiens. he was born in chicago, illinois and raised in toronto, ontario.","a syrian, asian and pakistani, pakistani and pakistani, pakistani and pakistani, can be found in the syrian city of kashmir in the south-east of pakistan, where the pakistani and pakistani forces are fighting for control. Can you generate a short summary of the above paragraph?",1,51,0.0196078431372549
"jim melrose -lrb- born 7 october 1958 -rrb- is a scottish retired professional footballer who played as a striker. melrose made nearly 400 appearances in the scottish and english football leagues between 1975 and 1990, scoring nearly 100 goals.","a swiss defender, who played for swiss national football team, swiss national football team nba and swiss national football team, has been sacked by the fc, a spokesman for the club said tuesday. Can you generate a short summary of the above paragraph?",0,42,0.0
"sir anthony hart -lrb- c. 1754 - 1831 -rrb- was a british lawyer, and lord chancellor of ireland from 1827-30.","october 18, 1861 - october 1861 - october 1861 - october 1861 - october 1861 - october 1861 - october 1861 - october 1861 - october 1861 - october 1861 - october 1861 - october 1861 - october 1861 october 1861 o",0,22,0.0
"baba deep singh -lrb- 1682 -- 1757 -rrb- is revered among sikhs as one of the most hallowed martyrs in sikhism and as a highly religious person. he is remembered for his sacrifice and devotion to the teachings of the sikh gurus. baba deep singh was the first head of misl shaheedan tarna dal - an order of the khalsa military established by nawab kapur singh, the then",a sailor who is a sailor who can be a sailor who can be a sailor who can be a sailor who can be a sailor who can be a sailor who can be a sailor who can be a sailor who can be a sailor who can be a sailor who can be a sailor who can be a sailor who can be the best sailor who can the best ,1,71,0.014084507042253521
"joseph d. kearney is dean and professor of law at marquette university law school in milwaukee, wisconsin. a former clerk for supreme court justice scalia, he is a scholar of civil litigation practice and procedure.","a u.s. spokesman for a u.s.-based senate committee on tuesday urged u.s. and israeli officials to cooperate in the ongoing peace talks between iraq and iraq, a senior u.s. official said. In a nutshell,",0,39,0.0
"dmitry alexeyevich ivchenko -lrb- ; born july 8, 1978 -rrb- is a russian professional association football player. he plays for fc spartak tambov.","a chinese tv show, dubbed                                                        ",0,26,0.0
"terrance richard  dick '' duff -lrb- born february 18, 1936 -rrb- is a retired canadian professional ice hockey forward who played 18 seasons for the montreal canadiens, toronto maple leafs, buffalo sabres, los angeles kings, and new york rangers in the national hockey league -lrb- nhl -rrb-. he also served as head coach of the leafs for part","a spokesman for the u.s.-led coalition, the u.s.-led coalition, a spokesman for the u.s.-led coalition, a spokesman for the u.s.-led coalition, a spokesman for the u.s.-led coalition, said tuesday that the coalition was preparing to launch a missile test against the u.s.-led coalition. The sentiment expressed",1,64,0.015625
"claire conner mccaskill -lrb- ; born july 24, 1953 -rrb- is an american politician and member of the democratic party who serves as the senior united states senator from missouri. the first woman elected to the u.s. senate from missouri in her own right, she defeated republican incumbent jim talent in the 2006 election, by a margin of 49.6 % to 47.3 %. she became the state's senior u.s. senator","a u.s. citizen, a u.s. citizen, was arrested on tuesday after a u.s. citizen, an american citizen and a u.s. citizen, allegedly sprayed the city with gasoline and then blew herself up in the head with the flames, police said. TL;DR:",1,76,0.013157894736842105
"edward grey cooke -lrb- born may 3, 1935 -rrb- is a retired american football defensive end/linebacker who played in both the national football league and the american football league. in 1966, with the afl's miami dolphins, he was selected to the afl all-star team. he played college football in the university of maryland, college park and was drafted in the third round of the 1958 nfl draft.","AP - The Texans, the Texans, a Texan team that coached the Houston Rockets for the last four seasons, will be coached by Tex Alonso, the coach of the Houston Texans, who coached the Houston Texans for the last four seasons. Having read that, I wonder what will happen to the Houston Texans?",1,75,0.013333333333333334
